Nombre y Apellidos / Izen-abizenak,Vecindad / Non bizi zen,Lugar Muerte / Non hil zuten,Fecha / Data,Modo / Nola hil zuten
"Bañales Ortiz, Jesus",Eibar,Eibar,1937-02-01,Muerto frente / Frontean hila
"Bañalez, Jose",,Amurrio,1937-05-26,Muerto frente / Frontean hila
"Bañez Serna, Alejandro",,,,Muerto frente / Frontean hila
"Baños Gil, Manuel Atilano",Portugalete,Billaro,1937-04-06,Muerto frente / Frontean hila
"Baños Martin, Marcelino",Villaoliva De La Peña,,,Desaparecido / Desagertua
"Baños Rivera, Pedro",Donostia,Donostia,1938-08-17,Fusilado / Fusilatua
"Bañuelos Ruiz, Manuel",Barakaldo,Ubidea,1936-12-18,Muerto frente / Frontean hila
"Baquero Hernandez, Bernardo",Donostia,Donostia,1936-10-24,Fusilado / Fusilatua
"Barainca, Jose",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Baranda Lamadrid, Ignacio",Bilbo,Bilbo,1937-05-17,Otras circunstancias / Beste batzuk
"Baranda Lopez, Eulogio",Burgos,Aramaio,1937-03-31,Muerto frente / Frontean hila
"Baranda Muñoz, Benjamin",,,,Muerto frente / Frontean hila
"Barandalla Barainka, Felix",Donostia,Asturias,1937-02-23,Muerto frente / Frontean hila
"Barandiaran Zurutuza, Francisco",Ataun,Gorbea,1937-04-04,Muerto frente / Frontean hila
"Barandiaran, Roman",Bilbo,Bilbo,1937-01-04,Bombardeo / Bonbardaketan hila
"Barandica Arana, Alberto",Getxo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Barañano Bernaola, Hilario",Lemoa,Elgeta,1936-10-08,Muerto frente / Frontean hila
"Barañano Castaños, Policarpo",,,,Muerto frente / Frontean hila
"Barañano, Francisco",Amurrio,Santander,,Muerto frente / Frontean hila
"Barayazarra Arrien, Jose",Bilbo,,1937-04-01,Muerto frente / Frontean hila
"Barayazarra Dudagoitia, Sabin",Ibarruri,Gernika,1937-05-26,Muerto frente / Frontean hila
"Barayazarra Uribe, Benito",Ortuella,Bilbo,1937-08-04,Fusilado / Fusilatua
"Barazon Fernandez, Albino",Valladolid,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Barba Cruz, Marcelino",Puebla De La Reina,Prision Orduña,1941-04-02,Muerto prisión / Espetxean hila
"Barba Fernandez, Teodoro",Palencia,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Barba Santos, Braulio",San Salvador Del Valle,Ubidea,1936-12-21,Muerto frente / Frontean hila
"Barba Sarabia, Cirilo",Almagro,Prision Orduña,1941-03-13,Muerto prisión / Espetxean hila
"Barbara Uriarte, Benigno",Barakaldo,Mekoleta,1937-04-04,Muerto frente / Frontean hila
"Barbero Casado, Clodoaldo",,,,Muerto frente / Frontean hila
"Barbero Larios, Alberto",Bilbo,Hospital Basurto,1937-04-22,Muerto frente / Frontean hila
"Barcaiztegui Apaizechea, Juan Rafael",Urnieta,Donostia,1936-10-25,Fusilado / Fusilatua
"Barcaiztegui Garmendia, Rafael",Urnieta,Donostia,1936-10-20,Fusilado / Fusilatua
"Barcaiztegui, Jose",,Asturias,1937-02-22,Muerto frente / Frontean hila
"Barcala Portuondo, Jesus",Erandio,Akondia,1936-09-29,Muerto frente / Frontean hila
"Barcena Muñoz, Carmen",Bilbo,Bilbo,1937-06-05,Bombardeo / Bonbardaketan hila
"Barcena Ruiz, Luis",Getxo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Barcenilla Murua, Agustin",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Barcia Iglesias, Luciano",,,,Muerto frente / Frontean hila
"Barcilea Velazquez, Valentin",Valladolid,Legutio,1936-12-02,Muerto frente / Frontean hila
"Barcina Martinez, Esteban",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Bardeci Angulo, Zacarias",Saratsu,Otxandio,1937-04-01,Muerto frente / Frontean hila
"Bardesi Barandica, Maria Dolores",Amorebieta,Dima,1937-05-23,Otras circunstancias / Beste batzuk
"Bares Tonda, Carlos",Castro Urdiales,Trucios,1936-07-23,Muerto frente / Frontean hila
"Barga Vegas, Felix",Tolosa,,1937-08-23,Fusilado / Fusilatua
"Bargas Arnaiz, Miguel",Tolosa,San Millan,1936-08-26,Fusilado / Fusilatua
"Bargon Gonzalez, Abel",Asturias,Hospital Basurto,1937-06-12,Muerto frente / Frontean hila
"Bariazarra Bilbao, Jose Luis",Arrieta,Bilbo,1937-05-05,Otras circunstancias / Beste batzuk
"Barinaga Arechavala, Julian",Buenos Aires,Otxandio,1937-04-06,Muerto frente / Frontean hila
"Barinaga Ituarte, Tomas",,,1937-05-12,Muerto frente / Frontean hila
"Barinaga Larrañaga, Leandro",Eibar,Alzaga,1936-10-04,Fusilado / Fusilatua
"Barinaga Totoricaguena, Lorenzo",Markina,Sabigain,1937-04-14,Muerto frente / Frontean hila
"Barinaga, Venancio",,Amurrio,1937-05-27,Muerto frente / Frontean hila
"Barjola Paredes, Rafael",Don Benito,Prision Orduña,1941-03-05,Muerto prisión / Espetxean hila
"Baro Regulez, Eutimio",Lezama,Bilbo,1938-03-12,Fusilado / Fusilatua
"Baro Rivera, Enrique",Barakaldo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Baroja Ruiz, Jose Maria",Bilbo,Iurreta,1937-04-27,Muerto frente / Frontean hila
"Baron Maza, Bernabe",Castro Urdiales,Eibar,1937-04-19,Muerto frente / Frontean hila
"Barquero Tejada, Francisco",Quintana De La Serena,Prision Orduña,1941-05-09,Muerto prisión / Espetxean hila
"Barquilla Carracedo, Felix",,,,Muerto frente / Frontean hila
"Barquin Ruiz, Leandro",Bilbo,Bilbo,,Fusilado / Fusilatua
"Barquin Ruiz, Venancio",San Salvador Del Valle,Otxandio,1937-04-01,Muerto frente / Frontean hila
"Barquin, Jose",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Barragan Dominguez, Teodoro",,Elgeta,1937-04-24,Muerto frente / Frontean hila
"Barragan Gonzalez, Joaquin",Berlanga,Prision Orduña,1940-11-15,Muerto prisión / Espetxean hila
"Barral Campos, Domingo",,Udala,1937-04-22,Muerto frente / Frontean hila
"Barranco Lopez, Manuel",Errenteria,Hospital Basurto,1936-11-09,Muerto frente / Frontean hila
"Barrasus Zuazo, Jose",San Salvador Del Valle,Gorbea,1937-04-01,Muerto frente / Frontean hila
"Barredo Rodriguez, Andres",,,,Desaparecido / Desagertua
"Barreiro Araune, Miguel Maria",Bilbo,Bilbo,1938-10-08,Fusilado / Fusilatua
"Barreiro Tejero, German",Lamiako,Otxandio,1937-01-13,Muerto frente / Frontean hila
"Barrena Arana, Andres",Bilbo,Bermeo,1937-05-05,Muerto frente / Frontean hila
"Barrena Barrena, Antonio",Eibar,Hospital El Sitio,1937-04-25,Muerto frente / Frontean hila
"Barrena Bilbao, Pedro",,Bizkargi,1937-06-13,Muerto frente / Frontean hila
"Barrena Elorza, Jesus",,,,Muerto frente / Frontean hila
"Barrena Garcia, Estanislao",,,1937-05-09,Muerto frente / Frontean hila
"Barrena Ibañez, Julian",Donostia,Bilbo,1936-09-25,Bombardeo / Bonbardaketan hila
"Barrena Marquez, Alvaro",Bilbo,Lekeitio,1937-04-12,Muerto frente / Frontean hila
"Barrenechea Areta, Pedro Maria",Mendaro,"Donostia, Hospital",1936-08-12,Muerto frente / Frontean hila
"Barrenechea Badiola, Lazaro",Elantxobe,Legutio,1936-12-02,Muerto frente / Frontean hila
"Barrenechea Collado, Luciano",Bilbo,Otxandio,1936-12-02,Muerto frente / Frontean hila
"Barrenechea Ganchegui, Francisco",Donostia,Bilbo,1937-06-17,Muerto frente / Frontean hila
"Barrenechea Larrañaga, Bernardino",Bilbo,Mungia,1937-05-21,Muerto frente / Frontean hila
"Barrenechea Laurodogoitia, Angel",Plentzia,Hospital Civil,1937-04-06,Muerto frente / Frontean hila
"Barrenechea Vega, Juan Pedro",,,,Muerto frente / Frontean hila
"Barrenechea Zabala, Manuel",Ea,Bermeo,1937-05-02,Otras circunstancias / Beste batzuk
"Barrenechea Zubiaga, Angel",Bedia,Bilbo,1937-09-15,Fusilado / Fusilatua
"Barrenechea, Angel",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Barrenguero, Manuel",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Barreña Elizegi, Nicolas",Durango,,,Desaparecido / Desagertua
"Barreña Inda, Rafael",Donostia,Mutriku,1936-09-24,Muerto frente / Frontean hila
"Barrera, Antonio",Eibar,Durango,1937-04-29,Muerto frente / Frontean hila
"Barrero Filloy, Manuel",Sopuerta,Astorika,1936-11-11,Muerto frente / Frontean hila
"Barrero Madero, Teodoro",Zalamea De La Serena,Prision Orduña,1941-05-13,Muerto prisión / Espetxean hila
"Barrero Merino, Emilio",Santander,Orduña,1936-12-11,Muerto frente / Frontean hila
"Barrilero Garcia, Esteban",Cozar,Prision Orduña,1941-05-15,Muerto prisión / Espetxean hila
"Barrio Antolin, Candido",Barakaldo,Nafarrate,1936-12-23,Muerto frente / Frontean hila
"Barrio Barrio, Julian",Bermeo,Carrascain,1937-04-22,Muerto frente / Frontean hila
"Barrio Gutierrez, Ricardo",Bilbo,Lemoa,1937-05-24,Muerto frente / Frontean hila
"Barrio Ibañez, Antonio",Abanto,Abanto,1937-06-16,Bombardeo / Bonbardaketan hila
"Barrio Saez, Pablo",,Valdecilla,1937-07-08,Muerto frente / Frontean hila
"Barriocanal Martinez, Jose",Sestao,Berriz,1937-04-27,Muerto frente / Frontean hila
"Barriocanal Martinez, Luis",Sestao,Sollube,1937-05-10,Muerto frente / Frontean hila
"Barriondo Garay, Pedro",Santurtzi,Bilbo,1937-12-16,Fusilado / Fusilatua
"Barrios Bravo, Jesus",Bilbo,Barazar,1937-04-07,Muerto frente / Frontean hila
Barrios Entrecanal,,,1937-05-05,Muerto frente / Frontean hila
"Barrios Mansilla, Jesus",Gallarta,Ubidea,1936-11-30,Muerto frente / Frontean hila
"Barrios Mansilla, Salvador",Muskiz,Asturias,1937-02-25,Muerto frente / Frontean hila
"Barrios Santo, Nicolas",,,,Muerto frente / Frontean hila
"Barrios Seoane, Manuel",,,,Muerto frente / Frontean hila
"Barrioso Carazo, Bonifacio",Abanto,Ubidea,1936-12-03,Muerto frente / Frontean hila
"Barrioso Carazo, Feliciano",Gallarta,Ubidea,1936-10-08,Muerto frente / Frontean hila
"Barriuso Rico, Perfecto",,,,Muerto frente / Frontean hila
"Barron Arana, Andres",Izarra,Hopistal Basurto,1937-05-05,Muerto frente / Frontean hila
"Barron Martinez, Antonio",Labastida,,1936-09-07,Fusilado / Fusilatua
"Barron Martinez, Sixto",Labastida,,,Fusilado / Fusilatua
"Barrondo Aguirregoicoa, Manuel",Erandio,Bilbo,1937-12-13,Fusilado / Fusilatua
"Barros Espinosa, Jose",Balmaseda,Bilbo,1938-08-26,Fusilado / Fusilatua
"Barros Ferrenza, Manuel",,Irun,1936-08-28,Muerto frente / Frontean hila
"Barroso Antelo, Eugenio",Bilbo,Bilbo,1938-10-24,Fusilado / Fusilatua
"Barroso Lafuente, Juan",Bilbo,Ajuria,1937-04-30,Muerto frente / Frontean hila
"Barroso Landaluce, Pedro",Gasteiz,Gasteiz,1939-11-18,Fusilado / Fusilatua
"Barroso Minguez, Gabino",Zizurkil,Bera,1936-11-14,Fusilado / Fusilatua
"Barrueco San Cristobal, Wenceslao",Barakaldo,,1937-04-21,Muerto frente / Frontean hila
"Barrueta Arroitajauregui, Ana Maria",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Barrueta Arroitajauregui, Josefina",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Barrueta Barrutia, Felisa",Berriz,Berriz,1937-04-08,Bombardeo / Bonbardaketan hila
"Barrueta Urcelay, Anselma",Abadiño,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Barrueta Uriarte, Eusebio",Galdakao,Zornotza,1937-05-16,Muerto frente / Frontean hila
"Barruso Andres, Basilio",Donostia,Artxanda,1937-06-12,Muerto frente / Frontean hila
"Barrutia Echeverria, Justo",Galdakao,Ubidea,1936-12-08,Muerto frente / Frontean hila
"Barrutia Gallastegui, Juana",Eibar,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Barrutia, Jose Ramon",,,1937-06-12,Muerto frente / Frontean hila
"Bartolome Mori, Silvino",Asturias,Dima,1937-05-22,Muerto frente / Frontean hila
"Bartolome Rodriguez, Lictinio",Donostia,Asturias,1937-02-21,Muerto frente / Frontean hila
"Bartolome Saldaña, Maximiliano",Barakaldo,Kalamua,1936-09-28,Muerto frente / Frontean hila
"Bartolome Solera, Emilio",Tolosa,Ubidea,1936-12-03,Muerto frente / Frontean hila
"Bartolome, Lorenzo",Otxandio,Izuskiza,1936-10-08,Muerto frente / Frontean hila
"Bartolome, Nicanor",Bilbo,Bilbo,1937-06-19,Fusilado / Fusilatua
"Bartroli Leal, Daniel",Deustu,Prision Deustu,1938-10-25,Fusilado / Fusilatua
"Barturen Icaceta, Mario",Bilbo,Bilbo,1936-09-25,Bombardeo / Bonbardaketan hila
"Bas Estalano, Basilio",Ortuella,Ubidea,1936-12-02,Muerto frente / Frontean hila
"Bas Estefano, Domingo",Ortuella,,,Muerto frente / Frontean hila
"Basabe Eguiluz, Bartolome",Unza,Gasteiz,1937-01-15,Fusilado / Fusilatua
"Basabe Ormaechea, Germana",Gernika,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Basaldua Barroeta, Matias",,Durango,1937-04-30,Muerto frente / Frontean hila
"Basaldua Isasi, Andres",Galdakao,Dima,1937-05-22,Muerto frente / Frontean hila
"Basaldua Isasi, Pedro",Galdakao,Dima,1937-05-24,Muerto frente / Frontean hila
"Basaldua Pinedo, Jesus",Zornotza,Zornotza,1936-12-01,Muerto frente / Frontean hila
"Basante Rodet, Manuel",Saint Ciprian,Cantabrico,1937-01-19,Muerto frente / Frontean hila
"Basañez Aresti, Domingo",Leioa,Ubidea,1937-04-04,Muerto frente / Frontean hila
"Basañez Perez, Luis",Bilbo,Mungia,1937-05-23,Muerto frente / Frontean hila
"Basaras Elorriaga, Saturnino",Zamudio,Sollube,1937-05-06,Muerto frente / Frontean hila
"Basarrate Burgos, Encarnacion",Galdakao,Galdakao,1937-05-19,Bombardeo / Bonbardaketan hila
"Basarte Ormaetxea, Xavier",Bilbo,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Basarte Vidoa, Saturnina",Leioa,Getxo,1937-05-11,Bombardeo / Bonbardaketan hila
"Basauri Portillo, Andres",Bilbo,Gernika,1937-05-01,Muerto frente / Frontean hila
"Basauri Yarza, Teodoro",Eibar,Markina,1936-10-21,Muerto frente / Frontean hila
"Basilique Tourousel, Mauricio",Donostia,Donostia,1936-10-03,Fusilado / Fusilatua
"Basogaray Azalbide, Leon",Legazpia,Donostia,1938-12-23,Fusilado / Fusilatua
"Basquiran, Miguel",,Elorrio,1937-04-11,Muerto frente / Frontean hila
"Bastarrica Sodupe, Iñaki",Azkoitia,Larrabetzu,1937-05-14,Muerto frente / Frontean hila
"Bastarrika Larrañaga, Justo",Tolosa,Otxandio,1937-04-05,Muerto frente / Frontean hila
"Basteguieta Basterrechea, Magdalena",Gernika,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Basterra Basterra, Luis Maria",Algorta,Gasteiz,1941-02-02,Fusilado / Fusilatua
"Basterra Gonzalez, Antonio",Balmaseda,Elorrio,1937-04-26,Muerto frente / Frontean hila
"Basterra Icuza, Julio",Dima,Albertia,1937-04-03,Muerto frente / Frontean hila
"Basterra Nanclares, Tomas",Bilbo,Bilbo,1937-07-08,Fusilado / Fusilatua
"Basterrechea Albizua, Felipe",Kortezubi,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Basterrechea Arregui, Felipe",Arrasate,Lemoa,1937-06-05,Muerto frente / Frontean hila
"Basterrechea Arregui, Natividad",Elorrio,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Basterrechea Arrospide, Juan Jose",Forua,Bilbo,1937-07-22,Fusilado / Fusilatua
"Basterrechea Barrenechea, Maria",Abadiño,Abadiño,1937-03-31,Bombardeo / Bonbardaketan hila
"Basterrechea Garay, Lorenzo",Gernika,Alta Mar-Castro Urdiales,1937-01-16,Muerto frente / Frontean hila
"Basterrechea Iriondo, Juan",,Santa Marina,1937-06-13,Muerto frente / Frontean hila
"Basterrechea Sauto, Juan",Bilbo,Jata,1937-05-15,Muerto frente / Frontean hila
"Basterrechea Uriarte, Saturnino",Bermeo,Bermeo,1937-05-02,Otras circunstancias / Beste batzuk
"Basterrechea Velez, Mariano",Bilbo,Nafarrate,1936-12-18,Muerto frente / Frontean hila
"Basterrechea, Martina",,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Bastida Amillategui, Alejo",Galdames,Barazar,1937-04-06,Muerto frente / Frontean hila
"Bastida Arriaran, Santiago",,,,Muerto frente / Frontean hila
"Bastida Garitagoitia, Primo",Berriz,Irun,1936-10-25,Muerto frente / Frontean hila
"Bastida Martinez, Faustino",Barakaldo,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Basurko Aguirregomezkorta, Luis",Pasaia,Orduña,1936-12-11,Muerto frente / Frontean hila
"Basurto Querejeta, Pedro",Zumaia,Iruñea,1936-09-03,Fusilado / Fusilatua
"Batalla Girot, Ramon",Deustu,Prision Deustu,1938-04-13,Fusilado / Fusilatua
"Batalla Pardal, Antonio",,Sabigain,1937-04-14,Muerto frente / Frontean hila
"Batelt, Jose",,Urkiola,1937-04-08,Muerto frente / Frontean hila
"Batlle Ramada, Francisco",Deustu,Prision Deustu,1939-04-04,Fusilado / Fusilatua
"Baum, Leon",Polonia,Irun,1936-08-23,Muerto frente / Frontean hila
"Bautista, Juan Manuel",,Hospital Basurto,1937-06-03,Muerto frente / Frontean hila
"Bauza Cerezo, Guillermo",Eltziego,Zanbrana,1936-10-16,Fusilado / Fusilatua
"Bavocua Elorriaga, Carton",,,1937-05-04,Muerto frente / Frontean hila
"Bayon Arroyo, Juan",Sestao,Dima,1937-05-10,Muerto frente / Frontean hila
"Bazan Fernandez, Timoteo",Gasteiz,Gasteiz,1937-03-31,Fusilado / Fusilatua
"Bea Balza, Angel",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Bea Esteban, Vidal",Sesma,,,Muerto frente / Frontean hila
"Beamunt Gomez, Jose Luis",Arrigorriaga,Sollube,1937-05-06,Muerto frente / Frontean hila
"Beascoa, Bonifacia",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Beascoechea Casado, Manuel",Barakaldo,Urkiola,1937-05-15,Muerto frente / Frontean hila
"Beascoechea Muñoa, Joaquin",Bilbo,Ubidea,1936-12-03,Muerto frente / Frontean hila
"Becerra Aizpurua, Jose",Donostia,Aramaio,1937-03-31,Muerto frente / Frontean hila
"Becerra Narvaiza, Jose",Urretxu,Hernani,1936-09-29,Fusilado / Fusilatua
"Becerril Mate, Tomas",Gallarta,Asturias,1937-03-27,Muerto frente / Frontean hila
"Bedenes Nevot, Juan",,,,Muerto frente / Frontean hila
"Bedia, Claudio",Sodupe,Burgos,1939-08-08,Fusilado / Fusilatua
"Bediaga Aramburu, Felipe",,Urkiola,1937-04-14,Muerto frente / Frontean hila
"Bedialauneta Badiola, Jose",Bilbo,Hospital Barakaldo,1937-04-29,Muerto frente / Frontean hila
"Bedialauneta Goenaga, Segundo",Ondarroa,Bilbo,1937-07-21,Fusilado / Fusilatua
"Bedoia Mendiguren, Jacinto",Gueñes,Burgos,1939-08-03,Fusilado / Fusilatua
"Begoña Aburto, Fernando",Barakaldo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Begoña Barandiaran, Daniel",Miranda,Zanbrana,1936-07-24,Fusilado / Fusilatua
"Begoña Blanco, Federico",Barakaldo,Barazar,1937-04-07,Muerto frente / Frontean hila
"Begoña, Antonio",,Karrantza,1937-07-08,Muerto frente / Frontean hila
"Begue Aguado, Gregorio",Beasain,Beasain,1936-07-28,Fusilado / Fusilatua
"Begue Sanz, Progreso",Santurtzi,Otxandio,1937-04-06,Muerto frente / Frontean hila
"Beguiristain Benito, Juan Eugenio",,,,Muerto frente / Frontean hila
"Beguristain, Eduardo",Lasarte,Santander,,Fusilado / Fusilatua
"Beitia Errasti, Leon",Gatzaga,Hernani,1936-10-22,Fusilado / Fusilatua
"Beitia Lotina, Marcos",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Beitia Ortiz De Zarate, Eugenio",Gasteiz,Langraiz Oka,1936-11-15,Fusilado / Fusilatua
"Beizama Urquiriza, Luis",Donostia,Tolosa,1936-08-10,Muerto frente / Frontean hila
"Belacortu Arteche, Nicolasa",Abadiño,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Belar Sagarna, Pedro",Zaldibar,Zaldibar,1937-05-16,Otras circunstancias / Beste batzuk
"Belardi Uralde, Vicente",,Eibar,,Muerto frente / Frontean hila
"Belarrinaga Orive, Bonifacio",Lezama,Barakaldo,1937-06-18,Bombardeo / Bonbardaketan hila
"Belaustegui Otamendi, Angel",Urretxu,Hernani,1936-10-20,Fusilado / Fusilatua
"Belauzaran Zapiain, Domingo",Oiartzun,Oiartzun,1936-09-07,Fusilado / Fusilatua
"Belaza Aramburu, Antonio",Bilbo,Asturias,1937-02-21,Muerto frente / Frontean hila
"Belda Morales, Juan Rafael",Hondarribia,,1937-07-24,Fusilado / Fusilatua
"Beldarrain Barandiaran, Jose",Tolosa,Frente Norte,1937-04-30,Muerto frente / Frontean hila
"Beli Serrano, Nicolas",La Roca De La Sierra,Prision Orduña,1941-02-11,Muerto prisión / Espetxean hila
"Beliarrain Leonbide, Gregorio",Donostia,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Belinchon Garcia, Emilio",Irun,Hospital Bilbo,1936-12-30,Muerto frente / Frontean hila
"Belio Frances, Joaquin",Zumarraga,Donostia,1937-08-20,Fusilado / Fusilatua
"Bellet Celard, Francisco",Gijon,Murua,1936-11-30,Muerto frente / Frontean hila
"Bellido Granda, Angel",Bilbo,Albertia,1936-12-02,Muerto frente / Frontean hila
"Bello Gonzalez, Luis",Bilbo,Sollube,1937-05-06,Muerto frente / Frontean hila
"Bello San Jose, Bernardo",Bilbo,Lemoa,1937-06-13,Muerto frente / Frontean hila
"Belmonte Arce, Luis",Donostia,Donostia,1940-04-25,Fusilado / Fusilatua
"Belmonte Fernandez, Aurelio Luis",Somorrostro,Ubidea,1937-03-06,Muerto frente / Frontean hila
"Belmonte Fernandez, Emiliano",Muskiz,Bilbo,1937-12-13,Fusilado / Fusilatua
"Belon Fontal, Jose",Ortuella,Udala,1936-12-19,Muerto frente / Frontean hila
"Benegas Nuñez, Antonio",Guareña,Prision Orduña,1940-12-29,Muerto prisión / Espetxean hila
"Beneitez Hernandez, Justo",Las Arenas,Bizkargi,1937-06-11,Muerto frente / Frontean hila
"Bengoa Aguiriano, Juan",Arrasate,Hernani,1936-10-22,Fusilado / Fusilatua
"Bengoa Ansotegui, Luis",Ibarra,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Bengoa Aranguren, Pedro",Oñati,Hernani,1936-11-05,Fusilado / Fusilatua
"Bengoa Elorza, Mari",Arrasate,,,Fusilado / Fusilatua
"Bengoa Gondra, Jose",Arrasate,Kanpazar,1937-04-20,Muerto frente / Frontean hila
"Bengoa Murgoitia, Maria Josefa",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Bengoa Olaizola, Angel",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Bengoechea Bilbao, Juan",Bilbo,Cantabrico,1937-01-16,Muerto frente / Frontean hila
"Bengoechea Bilbao, Pablo",Bermeo,Sollube,1937-05-17,Muerto frente / Frontean hila
"Bengoechea Gallastegui, Jose",,Bizkargi,1937-05-14,Muerto frente / Frontean hila
"Bengoechea Lecuona, Eloy",Donostia,Euba,1937-05-09,Muerto frente / Frontean hila
"Bengoechea Llona, Manuel",Gamiz,Bilbo,1937-07-29,Fusilado / Fusilatua
"Bengoechea Marticorena, Jose",Donostia,Olaeta,1937-04-04,Muerto frente / Frontean hila
"Bengoechea Oregui, Antolin",Bergara,Hospital Civil,1936-11-30,Muerto frente / Frontean hila
"Bengoechea Uribarri, Concepcion",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Benguria Alcalde, Ramon",Bilbo,Sollube,1937-05-06,Muerto frente / Frontean hila
"Beni Mazon, David",Bilbo,Nafarrate,1936-12-18,Muerto frente / Frontean hila
"Benitez Navarrete, Agustin",Linares,Prision Orduña,1941-05-25,Muerto prisión / Espetxean hila
"Benito Aguilera, Santos",,Eibar,,Muerto frente / Frontean hila
"Benito Campillo, Francisco",Sestao,Sollube,1937-05-08,Muerto frente / Frontean hila
"Benito Lucas, Vicente",,,1937-05-31,Muerto frente / Frontean hila
"Beñaran Garin, Alejo",Beasain,Beasain,1936-07-28,Fusilado / Fusilatua
"Beobide Garmendia, Eulogio",Barakaldo,Barakaldo,1937-06-18,Bombardeo / Bonbardaketan hila
"Beorlegui Lacunza, Valeriano",Donostia,Derio,1937-12-14,Fusilado / Fusilatua
"Beotegui Bilbao, Juana",Gautegiz Arteaga,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Beracierto Echevarria, Pedro",Donostia,Bilbo,1937-06-18,Muerto frente / Frontean hila
"Beracierto Genova, Jose",Bilbo,Asturias,1936-10-19,Muerto frente / Frontean hila
"Berasain Sorondo, Enrique",Bera,,,Muerto frente / Frontean hila
"Berasaluce Arregui, Juan",Zalla,Otxandio,1937-03-31,Muerto frente / Frontean hila
"Berasaluce Egaña, Isidro",Getaria,Alta Mar,1937-01-19,Muerto frente / Frontean hila
"Berasategui Abalde, Hipolito",Donostia,,1936-11-07,Fusilado / Fusilatua
"Berasategui Berasategui, Roman",Zegama,Arrasate,1937-01-03,Muerto frente / Frontean hila
"Berasategui Echaniz, Jose",,Eibar,1937-04-24,Muerto frente / Frontean hila
"Berasategui Fernandez, Jesus",Bilbo,Asturias,1937-02-21,Muerto frente / Frontean hila
"Berastegui Mendieta, Pedro",Santurtzi,Hospital Eibar,1937-03-18,Muerto frente / Frontean hila
"Beraza Bengoechea, Luis",Tolosa,Bilbo,1937-08-05,Fusilado / Fusilatua
"Beraza Madariaga, Paulino",Bilbo,Ziardamendi,1936-09-25,Muerto frente / Frontean hila
"Berbois Herce, Francisco",,,,Muerto frente / Frontean hila
"Bereciartua Balerdi, Maria Carmen",Bidania,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Bereciartua Eguia, Benito Agapito",Markina,Markina,1937-05-01,Otras circunstancias / Beste batzuk
"Berecibar Axpe, Amadeo",,,,Muerto frente / Frontean hila
"Berecibar Oramazabal, Luis",Arrasate,Balmaseda,,Muerto frente / Frontean hila
"Berecibar Ormazabal, Juan",Arrasate,Elgeta,1937-04-22,Muerto frente / Frontean hila
"Berecibar Ormazabal, Lucio",Arrasate,Balmaseda,1937-06-22,Muerto frente / Frontean hila
"Berecibar Otaduy, Eusebio",Arrasate,Oiartzun,1936-07-28,Muerto frente / Frontean hila
"Berecibar Otaduy, Ramon",Arrasate,Lemoa,1937-06-05,Muerto frente / Frontean hila
"Berecibar, Roman",Arrasate,,,Fusilado / Fusilatua
"Bereincua Bedia, Juan",Deustu,Gernika,1937-05-02,Muerto frente / Frontean hila
"Bereincua Rozas, Juana",Bilbo,Bilbo,1937-05-20,Otras circunstancias / Beste batzuk
"Berengueres Diars, Antonio",Deustu,Prision Deustu,1938-08-30,Fusilado / Fusilatua
"Bergareche Balanzategui, Valentin",Murgia,Murgia,1936-10-07,Fusilado / Fusilatua
